No,Tanggal,Confirmed,Deaths,Recovered
1,03/02/2020,2,0,0
2,03/03/2020,2,0,0
3,03/04/2020,2,0,0
4,03/05/2020,2,0,0
5,03/06/2020,4,0,0
6,03/07/2020,4,0,0
7,03/08/2020,6,0,0
8,03/09/2020,19,0,0
9,03/10/2020,27,0,2
10,03/11/2020,34,1,2
11,03/12/2020,34,1,2
12,03/13/2020,69,4,2
13,03/14/2020,96,5,8
14,03/15/2020,117,5,8
15,03/16/2020,134,5,8
16,03/17/2020,172,5,8
17,03/18/2020,227,19,11
18,03/19/2020,311,25,11
19,03/20/2020,369,32,15
20,03/21/2020,450,38,15
21,03/22/2020,514,48,29
22,03/23/2020,579,49,30
