Kabupaten/Kota/Provinsi,Uraian UMP/UMK/UMSK,Besar UMP/UMK Per Bulan (Rp.),Besar UMSK Per Bulan (Rp.),Nomor SK Gubernur Kalbar,,
Kalimantan Barat,Upah Minimum Provinsi,2.399.698,65,0,0,1312/DISNAKERTRANS/2019
Pontianak,Upah Minimum Kota,2.515.000,0,0,0,1375/DISNAKERTRANS/2019
Singkawang,Upah Minimum Kota,2.537.875,0,0,0,1386/DISNAKERTRANS/2019
Mempawah,Upah Minimum Kabupaten,2.422.594,26,0,0,1376/DISNAKERTRANS/2019
Sambas,1. Upah Minimum Kabupaten,2.580.000,0,0,0,1379/DISNAKERTRANS/2019
,2. Upah Minimum Sektor Perkebunan Kelapa Sawit termasuk Industri CPO,0,0,2.625.000,0,
,3. Upah Minimum Sektor Industri Karet dan Barang dari Karet,0,0,2.625.000,0,
Bengkayang,1. Upah Minimum Kabupaten,2.566.019,0,0,0,1385/DISNAKERTRANS/2019
,2. Upah Minimum Sektor Perkebunan,0,0,2.750.000,0,
Landak,Upah Minimum Kabupaten,2.549.844,0,0,0,1378/DISNAKERTRANS/2019
Sanggau,Upah Minimum Kabupaten,2.515.262,0,0,0,1374/DISNAKERTRANS/2019
Sintang,Upah Minimum Kabupaten,2.596.644,30,0,0,1373/DISNAKERTRANS/2019
Kapuas Hulu,1. Upah Minimum Kabupaten,2.483.000,0,0,0,1383/DISNAKERTRANS/2019
,2. Upah MInimum Sektor Perkebunan dan Industri Pengolahan Kelapa Sawit,0,0,2.692.000,0,
,3. Upah Minimum Sektor Industri Karet dan Barang dari Karet,0,0,2.692.000,0,
,4. Upah Minimum Sektor Industri Penggergajian dan Pengolahan Kayu,0,0,2.692.000,0,
,5. Upah Minimum Sektor Peternakan,0,0,2.692.000,0,
Ketapang,Upah Minimum Kabupaten,2.860.323,60,0,0,1377/DISNAKERTRANS/2019
Sekadau,Upah Minimum Kabupaten,2.461.000,0,0,0,1381/DISNAKERTRANS/2019
Melawi,Upah Minimum Kabupaten,2.483.040,0,0,0,1384/DISNAKERTRANS/2019
Kubu Raya,Upah Minimum Kabupaten,2.433.000,0,0,0,1382/DISNAKERTRANS/2019
Kayong Utara,1. Upah Minimum Kabupaten,2.714.750,0,0,0,1380/DISNAKERTRANS/2019
,2. Upah Minimum Sektor Perkebunan Kelapa Sawit dan Industri CPO,0,0,2.944.550,0,
,3. Upah Minimum Sektor Pertambangan,0,0,2.944.550,0,
