Urutan,Situs,Domain,Jenis
1,Okezone,okezone.com,Situs berita
2,Google,google.com,Mesin penjelajah web
3,Tribunnews,Tribunnews.com,Situs berita
4,Youtube,youtube.com,Serambi berbagi video
5,Detik,detik.com,Situs berita
6,Liputan6,Liputan6.com,Situs berita
7,Kompas,kompas.com,Situs berita
8,Sindonews,Sindonews.com,Situs berita
9,Grid,Grid.id,Situs berita hiburan
10,Blogger,blogspot.com,layanan publikasi blog
11,Google Indonesia,google.co.id,Mesin penjelajah web
12,Idntimes,Idntimes.com,Situs berita
13,Kumparan,Kumparan.com,Situs berita hiburan
14,Yahoo,Yahoo.com,Mesin penjelajah web
15,Suara,Suara.com,Situs berita
16,Merdeka,Merdeka.com,Situs berita
17,Brilio,Brilio.net,Situs berita hiburan
18,CNN Indonesia,cnnindonesia.com,Situs berita
19,Kompasiana,Kompasiana.com,layanan publikasi blog
20,Kapanlagi,Kapanlagi.com,Situs berita hiburan
21,Bolasport,Bolasport.com,Situs berita olahraga
22,Alodokter,Alodokter.com,Situs berita kesehatan
23,Kaskus,Kaskus.co.id,situs forum komunitas maya
24,Vidio,Vidio.com,Situs web berbagi video
25,Wordpress,Wordpress.com,layanan publikasi blog
26,Wikipedia,Wikipedia.org,ensiklopedia multibahasa yang bebas dan terbuka
27,Tokopedia,Tokopedia.com,Belanja virtual
28,Tempo,Tempo.co,situs berita
29,Viva,Viva.co.id,Situs berita
30,Blibli,Blibli.com,Belanja virtual
31,Kemendikbud,Kemdikbud.go.id,Situs kementrian
32,Academia.edu,Academia.edu,Situs akademisi
33,Shopee Indonesia,Shopee.co.id,Belanja virtual
34,CNBC Indonesia,Cnbcindonesia.com,Situs berita
35,Tirto,Tirto.id,Situs berita
36,Wowkeren,Wowkeren.com,Situs berita hiburan
37,Gridoto,Gridoto.com,Situs berita otomotif
38,Indosport,Indosport.com,Situs berita olahraga
39,Akurat,Akurat.co,Situs berita
40,Hipwee,Hipwee.com,Situs berita hiburan
41,Bola,Bola.net,Situs berita olahraga
42,Facebook,Facebook.com,layanan jejaring sosial
43,Jawa Pos,Jpnn.com,Situs berita
44,Bukalapak,bukalapak.com,Belanja virtual
45,Dream,Dream.co.id,Situs berita hiburan
46,Matamata,Matamata.com,Situs berita hiburan
47,Scribd,Scribd.com,Situs akademisi
48,Republika,Republika.co.id,Situs berita
49,Doktersehat,Doktersehat.com,Situs berita kesehatan
50,Bola,Bola.com,Situs berita olahraga
